"name","producer","region"
"Barolo","Covalli","Barolo"
"Barolo","Cascina Adelaide","Barolo"
"Barolo","Villa Ilaria","Piemonte"
"Barolo","Antario","Barolo"
"Barolo","Giribaldi","Barolo"
"Barolo","Serre dei Roveri","Barolo"
"Barolo","Padre Bona","Piemonte"
"Barolo","Francesco Scanavino","Barolo"
"Barolo","Villadoria","Barolo"
"Barolo","Mauro Veglio","Barolo"
"Barolo","Alto di Bellano","Barolo"
"Barolo","Terre","Barolo"
"Barolo","Arbeta","Barolo"
"Barolo","Antichi Massari di San Grato","Barolo"
"Barolo","Francesco Rinaldi & Figli","Piemonte"
"Barolo","Miliasso","Barolo"
"Barolo","Contratto","Barolo"
"Barolo","La Loggia","Barolo"
"Barolo","Gianfranco Alessandria","Piemonte"
"Barolo","Enrico Serafino","Piemonte"
"Barolo","Brovia","Barolo"
"Barolo","Giacomo Conterno","Barolo"
"Barolo","Zengarello","Barolo"
"Barolo","La Marchesina","Barolo"
"Barolo","Pira Luigi","Barolo"
"Barolo","BelColle","Piemonte"
"Barolo","Balbi Soprani","Barolo"
"Barolo","Luigi Einaudi","Barolo"
"Barolo","Conte Maresco","Barolo"
"Barolo","Lo Zoccolaio","Barolo"
"Barolo","Casa Vinicola Cortese-Selectvini","Piemonte"
"Barolo","Casetta","Langhe"
"Barolo","Giordano","Barolo"
"Barolo","Giacomo Grimaldi","Barolo"
"Barolo","Cabutto-Tenuta La Volta","Barolo"
"Barolo","Gioso","Barolo"
"Barolo","Terre di Bo","Barolo"
"Barolo","Schiavenza","Langhe"
"Barolo","Valdibera Estate","Barolo"
"Barolo","Pertinace","Barolo"
"Barolo","Luigi Oddero","Piemonte"
"Barolo","Seghesio","Langhe"
"Barolo","Cappellano","Piemonte"
"Barolo","Patrizi","Barolo"
"Barolo","Palladino","Piemonte"
"Barolo","Via al Castello","Barolo"
"Barolo","Castello di Santa Vittoria","Barolo"
"Barolo","Attilio Ghisolfi","Piemonte"
"Barolo","Azelia","Barolo"
"Barolo","Sordo","Barolo"
"Barolo","Le Radici","Barolo"
"Barolo","Silvio Grasso","Barolo"
"Barolo","Gaetano d’Aquino","Barolo"
"Barolo","Franco Amoroso","Barolo"
"Barolo","Vitis Homo Solis Terra","Barolo"
"Barolo","Produttori di Valtiglione","Piemonte"
"Barolo","Ordine di San Giuseppe","Barolo"
"Barolo","Riofava","Barolo"
"Barolo","Fratelli Serio & Battista Borgogno","Barolo"
"Barolo","Scanavino","Barolo"
"Barolo","Franco Serra","Piemonte"
"Barolo","Corte Rossa","Barolo"
"Barolo","Collina del Sole","Barolo"
"Barolo","Torlasco","Barolo"
"Barolo","Antologia","Piemonte"
"Barolo","Umberto Fiore","Barolo"
"Barolo","Fratelli Dogliani","Barolo"
"Barolo","Cantine di Ora","Barolo"
"Barolo","Marchesini","Barolo"
"Barolo","Miniato","Barolo"
"Barolo","Manfredi","Piemonte"
"Barolo","Gian Piero Marrone","Barolo"
"Barolo","Borgogno Francesco","Barolo"
"Barolo","Castelvecchio","Barolo"
"Barolo","Roberto Sarotto","Barolo"
"Barolo","Duchessa Lia","Barolo"
"Barolo","Paolo Scavino","Barolo"
"Barolo","Andrea Oberto","Barolo"
"Barolo","Josetta Saffirio","Barolo"
"Barolo","Enzo Bartoli","Piemonte"
"Barolo","Tenimenti Ca'Bianca","Barolo"
"Barolo","Kirkland Signature","Barolo"
"Barolo","Bartolo Mascarello","Barolo"
"Barolo","Domenico Clerico","Barolo"
"Barolo","Tre Amici","Piemonte"
"Barolo","Neirano","Barolo"
"Barolo","Natale Verga","Lombardia"
"Barolo","Ricossa","Barolo"
"Barolo","Mirafiore","Piemonte"
"Barolo","Gianni Gagliardo","Piemonte"
"Barolo","Cantina Comunale di Castiglione Falletto","Barolo"
"Barolo","Pio Cesare","Piemonte"
"Barolo","Borgogno","Barolo"
"Barolo","Batasiolo","Barolo"
"Barolo","Terre da Vino","Piemonte"
"Barolo","Antica Cantina le Lodole","Langhe"
"Barolo","Quasso","Barolo"
"Barolo","Gemma","Barolo"
"Barolo","Marone Castiglione Falletto","Barolo"
"Barolo","Boroli","Barolo"
"Barolo","Riva Leone","Barolo"
"Barolo","Ascheri","Barolo"
"Barolo","Massolino","Piemonte"
"Barolo","Mauro Molino","Barolo"
"Barolo","Giacomo Fenocchio","Barolo"
"Barolo","Elio Altare","Piemonte"
"Barolo","Rosa dell'Olmo","Barolo"
"Barolo","Ceretto","Piemonte"
"Barolo","Fontanafredda","Barolo"
"Barolo","Giacosa Fratelli","Barolo"
"Barolo","Fratelli Alessandria","Verduno"
"Barolo","Produttori dei Colli","Langhe"
"Barolo","Prunotto","Barolo"
"Barolo","Criterion","Barolo"
"Barolo","Viticoltori Associati di Calamandrana","Barolo"
"Barolo","Il Pozzo","Barolo"
"Barolo","Lidl","Barolo"
"Barolo","Trediberri","Barolo"
"Barolo","Oddero","Piemonte"
"Barolo","Terre del Barolo","Barolo"
"Barolo (Rocche)","Rocche dei Manzoni","Barolo"
"Barolo (Tradizione)","Marchesi di Barolo","Barolo"
"Barolo Aeroplan Servaj","Domenico Clerico","Barolo"
"Barolo Aleste","Sandrone","Barolo"
"Barolo Arborina","Mauro Veglio","Barolo"
"Barolo Arione","Giacomo Conterno","Barolo"
"Barolo Badarina","Bersano","Barolo"
"Barolo Boscareto","Batasiolo","Barolo"
"Barolo Bricco Boschis","Cavallotto","Piemonte"
"Barolo Bricco Cerretta","Schiavenza","Langhe"
"Barolo Bricco Delle Viole","G.D. Vajra","Barolo"
"Barolo Bricco Fiasco","Azelia","Barolo"
"Barolo Bricco Gattera","Cordero di Montezemolo","Barolo"
"Barolo Bricco Luciani","Cascina del Monastero","Barolo"
"Barolo Bricco Rocca","Cascina Ballarin","Piemonte"
"Barolo Bricco Rocca Riserva Tistot","Cascina Ballarin","Piemonte"
"Barolo Bricco Rocche","Ceretto","Piemonte"
"Barolo Bricco San Pietro","Simone Scaletta","Barolo"
"Barolo Bricco San Pietro","Ruggeri Corsini","Barolo"
"Barolo Briccolina","Rivetto","Barolo"
"Barolo Briccolina","Batasiolo","Barolo"
"Barolo Broglio","Schiavenza","Langhe"
"Barolo Broglio Riserva","Schiavenza","Langhe"
"Barolo Brunate","Batasiolo","Barolo"
"Barolo Brunate","Oddero","Piemonte"
"Barolo Brunate","Ceretto","Piemonte"
"Barolo Brunate","Damilano","Barolo"
"Barolo Brunate","Vietti","Barolo"
"Barolo Bussia","Parusso","Barolo"
"Barolo Bussia","Cascina Pugnane F.lli Ghisolfi","Barolo"
"Barolo Bussia","Achille Viglione","Langhe"
"Barolo Bussia","Aldo Conterno","Barolo"
"Barolo Bussia","Tenuta Rocca","Barolo"
"Barolo Bussia","Attilio Ghisolfi","Barolo"
"Barolo Bussia","Sylla Sebaste","Barolo"
"Barolo Bussia","Pecchenino","Barolo"
"Barolo Bussia","Antichi Massari di San Grato","Piemonte"
"Barolo Bussia","Deltetto","Barolo"
"Barolo Bussia","Amalia Cascina In Langa","Langhe"
"Barolo Bussia","Franco Conterno","Barolo"
"Barolo Bussia","Cascina Ballarin","Piemonte"
"Barolo Bussia","Tenuta Zanossi","Barolo"
"Barolo Bussia","Prunotto","Barolo"
"Barolo Bussia","Giacosa Fratelli","Barolo"
"Barolo Bussia","Giacomo Fenocchio","Barolo"
"Barolo Bussia","Sangrato","Lombardia"
"Barolo Bussia Cicala","Aldo Conterno","Barolo"
"Barolo Bussia Colonnello","Aldo Conterno","Piemonte"
"Barolo Bussia Corsini","Ruggeri Corsini","Barolo"
"Barolo Bussia di Monforte Riserva Speciale","Bruno Giacosa","Piemonte"
"Barolo Bussia Granbussia","Aldo Conterno","Barolo"
"Barolo Bussia Munie","Giacomo Conterno","Barolo"
"Barolo Bussia Munie Riserva","Franco Conterno","Barolo"
"Barolo Bussia Riserva","M.A. Monticelli","Barolo"
"Barolo Bussia Riserva","Parusso","Barolo"
"Barolo Bussia Riserva","Stroppiana","Barolo"
"Barolo Bussia Romirasco","Aldo Conterno","Barolo"
"Barolo Bussia Soprana","Aldo Conterno","Piemonte"
"Barolo Bussia Soprana Vigna Mondoca","Oddero","Piemonte"
"Barolo Bussia Vigna Fiurin","Parusso","Barolo"
"Barolo Bussia Vigna Munie","Parusso","Barolo"
"Barolo Bussia Vigna Rocche","Parusso","Barolo"
"Barolo Bussia Vigneto Bofani","Batasiolo","Barolo"
"Barolo Campo dei Buoi","Costa di Bussia-Tenuta Arnulfo","Piemonte"
"Barolo Cannubi","Paolo Scavino","Barolo"
"Barolo Cannubi","Borgogno","Barolo"
"Barolo Cannubi","Francesco Rinaldi & Figli","Piemonte"
"Barolo Cannubi","Giacomo Fenocchio","Barolo"
"Barolo Cannubi","Gianni Gagliardo","Barolo"
"Barolo Cannubi","Damilano","Barolo"
"Barolo Cannubi","Michele Chiarlo","Barolo"
"Barolo Cannubi Boschis","Sandrone","Barolo"
"Barolo Carobric","Paolo Scavino","Barolo"
"Barolo Cascina Ferrero","Tenuta Carretta","Barolo"
"Barolo Cascina Francia","Giacomo Conterno","Barolo"
"Barolo Cascina Nuova","Elvio Cogno","Langhe"
"Barolo Castagni","Reverdito","Barolo"
"Barolo Castellero","Brezza","Barolo"
"Barolo Castelletto","Mauro Veglio","Barolo"
"Barolo Castiglione","Vietti","Barolo"
"Barolo Castiglione Falletto","Bava","Barolo"
"Barolo Cerequio","Batasiolo","Piemonte"
"Barolo Cerequio","Damilano","Barolo"
"Barolo Cerequio","Michele Chiarlo","Barolo"
"Barolo Cerretta","Giacomo Conterno","Langhe"
"Barolo Cerretta","Ettore Germano","Barolo"
"Barolo Cerretta","Luigi Baudana","Langhe"
"Barolo Cerretta","Giovanni Rosso","Barolo"
"Barolo Chinato","Damilano","Barolo Chinato"
"Barolo Chinato","Manfredi","Piemonte"
"Barolo Chinato","Erbaluna","Piemonte"
"Barolo Chinato","Fratelli Serio & Battista Borgogno","Barolo Chinato"
"Barolo Chinato","G.D. Vajra","Barolo Chinato"
"Barolo Chinato","Gianni Gagliardo","Barolo Chinato"
"Barolo Chinato","Cappellano","Barolo Chinato"
"Barolo Chinato","Cantina Comunale di Castiglione Falletto","Barolo Chinato"
"Barolo Ciabot Mentin Ginestra","Domenico Clerico","Barolo"
"Barolo Collezione La Rovere Riserva","Cantin della Rovere","Barolo"
"Barolo Comune di Serralunga d'Alba","Ettore Germano","Barolo"
"Barolo Conca","Mauro Molino","Barolo"
"Barolo Conca","Renato Ratti","Barolo"
"Barolo Cru Cannubi","Prunotto","Barolo"
"Barolo del Comune di Barolo","Scarzello","Barolo"
"Barolo del Comune di Barolo","Marchesi di Barolo","Barolo"
"Barolo del Comune di La Morra","Renato Corino","Barolo"
"Barolo del Comune di la Morra","Roberto Voerzio","Barolo"
"Barolo del Comune di Serralunga d'Alba","Bruna Grimaldi","Barolo"
"Barolo del Comune di Serralunga d'Alba","Tenuta Cucco","Barolo"
"Barolo del Comune di Serralunga d'Alba","Cantina del Nebbiolo","Barolo"
"Barolo del Comune di Serralunga d'Alba","Palladino","Barolo"
"Barolo del Comune di Serralunga d'Alba","Giovanni Rosso","Barolo"
"Barolo del Comune di Serralunga d'Alba","Ferdinando Principiano","Barolo"
"Barolo del Comune di Serralunga d'Alba","Rivetto","Barolo"
"Barolo di Castiglione Falletto Riserva","Casavecchia","Barolo"
"Barolo di Castiglione Falletto Scarrone","Bava","Barolo"
"Barolo Enrico VI","Cordero di Montezemolo","Barolo"
"Barolo Gabutti Bussia","Stroppiana","Barolo"
"Barolo Gallinotto","Mauro Molino","Barolo"
"Barolo Gancia","Mauro Molino","Barolo"
"Barolo Gattera","Mauro Veglio","Barolo"
"Barolo Gavarini Chiniera","Elio Grasso","Barolo"
"Barolo Giachini","Fratelli Revello","Barolo"
"Barolo Ginestra Casa Maté","Elio Grasso","Piemonte"
"Barolo Ginestra Vigna del Gris","Conterno Fantino","Piemonte"
"Barolo Giulin","Rivetto","Barolo"
"Barolo La Pieve","Abbona","Barolo"
"Barolo La Serra","Giovanni Rosso","Barolo"
"Barolo Lazzarito","Vietti","Barolo"
"Barolo Lazzarito","Mirafiore","Piemonte"
"Barolo Le Brunate","Francesco Rinaldi & Figli","Piemonte"
"Barolo Le Coste-Mosconi","Parusso","Barolo"
"Barolo Le Terre","Terre del Barolo","Barolo"
"Barolo Le Vigne","Sandrone","Barolo"
"Barolo Lecinquevigne","Damilano","Barolo"
"Barolo Leon","Rivetto","Barolo"
"Barolo Liste","Borgogno","Barolo"
"Barolo Liste","Damilano","Barolo"
"Barolo Luigi Arnulfo","Costa di Bussia-Tenuta Arnulfo","Barolo"
"Barolo Marcenasco","Renato Ratti","Barolo"
"Barolo Marenca","Pira Luigi","Piemonte"
"Barolo Margheria","Pira Luigi","Barolo"
"Barolo Mariondino","Parusso","Barolo"
"Barolo Monfalletto","Cordero di Montezemolo","Barolo"
"Barolo Monforte d'Alba","Fontanafredda","Piemonte"
"Barolo Monprivato","Mascarello Giuseppe e Figlio","Barolo"
"Barolo Monrobiolo di Bussia","Bric Cenciurio","Barolo"
"Barolo Monvigliero","Fratelli Alessandria","Verduno"
"Barolo Monvigliero","Paolo Scavino","Barolo"
"Barolo Monvigliero","Comm. G.B. Burlotto","Barolo"
"Barolo Paiagallo","Giovanni Canonica","Barolo"
"Barolo Pajana","Domenico Clerico","Barolo"
"Barolo Parafada","Massolino","Piemonte"
"Barolo Percristina","Domenico Clerico","Barolo"
"Barolo Pernanno","Bongiovanni","Barolo"
"Barolo Persiera","Josetta Saffirio","Barolo"
"Barolo Poderi in Cannubi","Tenuta Carretta","Barolo"
"Barolo Prapò","Schiavenza","Langhe"
"Barolo Prapò Bricco Rocche","Ceretto","Piemonte"
"Barolo Preve Riserva","Gianni Gagliardo","Piemonte"
"Barolo Rapet (Gold Label)","Ca' Rome'","Barolo"
"Barolo Ravera","Elvio Cogno","Barolo"
"Barolo Ravera","G.D. Vajra","Barolo"
"Barolo Ravera","Vietti","Barolo"
"Barolo Riserva","Alte Rocche Bianche","Piemonte"
"Barolo Riserva","Costa di Bussia-Tenuta Arnulfo","Piemonte"
"Barolo Riserva","Sangrato","Lombardia"
"Barolo Riserva","Michele Chiarlo","Piemonte"
"Barolo Riserva","Fratelli Dogliani","Barolo"
"Barolo Riserva","Cascina Ghercina","Barolo"
"Barolo Riserva","Terre del Barolo","Barolo"
"Barolo Riserva","Pianpolvere Soprano","Barolo"
"Barolo Riserva","Sartirano Figli Cantine e Vigneti","Langhe"
"Barolo Riserva","Demarie","Barolo"
"Barolo Riserva","Antichi Massari di San Grato","Piemonte"
"Barolo Riserva","Mirafiore","Barolo"
"Barolo Riserva","Francone","Barolo"
"Barolo Riserva","Villadoria","Barolo"
"Barolo Riserva","Monsparone","Barolo"
"Barolo Riserva","Cancello del Barone","Barolo"
"Barolo Riserva","Bersano","Barolo"
"Barolo Riserva","Fontanafredda","Barolo"
"Barolo Riserva","Fratelli Martini","Asti"
"Barolo Riserva","San Silvestro","Barolo"
"Barolo Riserva","Borgogno","Barolo"
"Barolo Riserva","Aldi","Barolo"
"Barolo Riserva","Tor di Vento","Barolo"
"Barolo Riserva","Marchesi di Barolo","Barolo"
"Barolo Riserva","Guasti Clemente","Monferrato"
"Barolo Riserva","Cantina Comunale di Castiglione Falletto","Barolo"
"Barolo Riserva","Rivetto","Barolo"
"Barolo Riserva","Damilano","Barolo"
"Barolo Riserva","Anselma Giacomo","Barolo"
"Barolo Riserva","Scuta","Barolo"
"Barolo Riserva","Mundi","Barolo"
"Barolo Riserva","Il Bastione","Piemonte"
"Barolo Riserva","Casa Martelletti","Barolo"
"Barolo Riserva","Terre da Vino","Piemonte"
"Barolo Riserva","Batasiolo","Barolo"
"Barolo Riserva","Barreri & Rovati","Barolo"
"Barolo Riserva (Cascina Dardi)","Alessandro e Gian Natale Fantino","Barolo"
"Barolo Riserva 10 Anni","BelColle","Piemonte"
"Barolo Riserva 10 Anni","Reverdito","Barolo"
"Barolo Riserva Bricco Boschis Vigna San Giuseppe","Cavallotto","Piemonte"
"Barolo Riserva Bricco Voghera","Azelia","Barolo"
"Barolo Riserva Bussia 90 Dì","Giacomo Fenocchio","Barolo"
"Barolo Riserva Cannubi 1752","Damilano","Barolo"
"Barolo Riserva Castiglione","Terre del Barolo","Barolo"
"Barolo Riserva del Fondatore","Cabutto-Tenuta La Volta","Barolo"
"Barolo Riserva del Fondatore Vigna Sarmassa","Cabutto-Tenuta La Volta","Barolo"
"Barolo Riserva Edizione Limitata 150 Anniversario Rocche-Villero","Brovia","Barolo"
"Barolo Riserva Giblin","Gemma","Barolo"
"Barolo Riserva Ginestra","Cascina Chicco","Piemonte"
"Barolo Riserva Granbussia","Aldo Conterno","Piemonte"
"Barolo Riserva Le Terre","Terre del Barolo","Barolo"
"Barolo Riserva Monfortino","Giacomo Conterno","Langhe"
"Barolo Riserva Monprivato Cà d'Morissio","Mascarello Giuseppe e Figlio","Barolo"
"Barolo Riserva Rüncot","Elio Grasso","Barolo"
"Barolo Riserva San Bernardo","Palladino","Barolo"
"Barolo Riserva Speciale","Fratelli Minuto","Langhe"
"Barolo Riserva Speciale","Scarpa","Barolo"
"Barolo Riserva Speciale","Bosca","Piemonte"
"Barolo Riserva Speciale","Tenuta Cerequio","Barolo"
"Barolo Riserva Speciale","Marchese Villadoria","Barolo"
"Barolo Riserva Speciale Cremosina","Bersano","Barolo"
"Barolo Riserva Vigna Rionda","Massolino","Piemonte"
"Barolo Riserva Vignolo","Cavallotto","Piemonte"
"Barolo Riserva Villero","Vietti","Barolo"
"Barolo Rocche","Renato Ratti","Barolo"
"Barolo Rocche dell'Annunziata","Renato Ratti","Barolo"
"Barolo Rocche Dell'Annunziata","Mauro Veglio","Barolo"
"Barolo Rocche di Castelletto","Cascina Chicco","Barolo"
"Barolo Rocche di Castiglione","Vietti","Barolo"
"Barolo Rocche di Castiglione","Oddero","Piemonte"
"Barolo Rocche di Castiglione","Sordo","Barolo"
"Barolo Rocche Marcenasco","Renato Ratti","Barolo"
"Barolo San Lorenzo di Verduno","Fratelli Alessandria","Verduno"
"Barolo San Rocco","Azelia","Barolo"
"Barolo Santo Stefano di Perno","Mascarello Giuseppe e Figlio","Barolo"
"Barolo Sarmassa Vigna Merenda","Scarzello","Barolo"
"Barolo Serralunga","Luigi Baudana","Langhe"
"Barolo Serralunga","Pira Luigi","Piemonte"
"Barolo Serralunga d' Alba","Enoteca Cotti","Veneto"
"Barolo Serralunga d’Alba","Paolo Manzone","Barolo"
"Barolo Serralunga d'Alba","La Collina di Dioniso","Barolo"
"Barolo Serralunga d'Alba","Fontanafredda","Barolo"
"Barolo Serralunga d'Alba","Enrico Serafino","Piemonte"
"Barolo Serralunga d'Alba","Cascina Luisin","Barolo"
"Barolo Serre","Gianni Gagliardo","Piemonte"
"Barolo Sorì","Cascina Boschetti Gomba","Barolo"
"Barolo Sorì Ginestra","Conterno Fantino","Barolo"
"Barolo Sôrì Paradiso","Villadoria","Barolo"
"Barolo Sottocastello di Novello","Ca'Viola","Barolo"
"Barolo Terlo Ravera","Abbona","Barolo"
"Barolo Tre Ciabòt","Cascina Ballarin","Barolo"
"Barolo Vigna Broglio","Palladino","Barolo"
"Barolo Vigna Cerretta","Ca' Rome'","Barolo"
"Barolo Vigna Mandorlo","Giacosa Fratelli","Barolo"
"Barolo Vigna Rionda","Pira Luigi","Barolo"
"Barolo Vigna Rionda","Oddero","Piemonte"
"Barolo Vigna Rionda Ester Canale","Giovanni Rosso","Barolo"
"Barolo Vigna San Bernardo","Palladino","Barolo"
"Barolo Vignarionda Riserva","Oddero","Piemonte"
"Barolo Vigneto Brunate","Andrea Oberto","Barolo"
"Barolo Vigneto Cannubi","Comm. G.B. Burlotto","Barolo"
"Barolo Villero","Oddero","Piemonte"
"Barolo Villero","Mascarello Giuseppe e Figlio","Barolo"
"Barolo Villero","Ceretto","Piemonte"
"Barolo Villero","Giacomo Fenocchio","Barolo"
"Barolo Villero","Sordo","Barolo"
"Baron' Ugo Toscana Rosso","Monteraponi","Toscana"
"Barone Albergotti Toscana Rosso","Tipici dell'Aretino","Toscana"
"Barone Nero","Ca'Bellavitis","Veneto"
"Baronesse Passito","Nals Margreid","Südtirol-Alto Adige"
"Baronie Coraldo Nero d'Avola","Baglio Gibellina","Terre Siciliane"
"Barontoli Toscana","Azienda Agricola Poggio Salvi","Toscana"
"Baroque Moscato di Noto","Rudini","Terre Siciliane"
"Barricadiero","Aurora","Offida"
"Barricaia Noir Grandi Annate","Villa Rinaldi","Veneto"
"Barricato 40 Chardonnay","Bollini","Trentino"
"Barrique","Perrini Organic Vine & Wines","Salento"
"Barrosu Cannonau di Sardegna Riserva Franzisca","Giovanni Montisci","Sardegna"
"Barrua","Punica","Isola dei Nuraghi"
"Barthenau Metodo Classico Brut Rosé","J. Hofstätter","Trentino-Alto Adige"
"Bartis","Fiorini","Marche"
"Barturot Dolcetto d'Alba","Ca'Viola","Dolcetto d'Alba"
"Baruk Rosso Piceno","Cantina Ortenzi","Rosso Piceno"
"Barullo","Castello di Selvole","Toscana"
"Basaltik Sauvignon","La Cappuccina","Veneto"
"Basarin Riserva Barbaresco","Adriano Marco e Vittorio","Langhe"
"Bascia Primitivo Puglia","San Marzano","Puglia"
"Bascià Rosso d'Italia","Notte Rossa","Vino d'Italia"
"Basileus","Poderi Marini","Calabria"
"Basilica del Cortaccio Cabernet Sauvignon","Cafaggio","Toscana"
"Basilica del Pruneto Merlot","Cafaggio","Toscana"
"Basilica Solatio Chianti Classico Riserva","Cafaggio","Chianti Classico"
"Basilicata Greco-Fiano","Brandano","Basilicata"
"Basilicata Pipoli Rosato","Vigneti del Vulture","Basilicata"
"Basilicata Rosato","Terre degli Svevi","Basilicata"
"Basilicata Rosso","Vigna Alta","Provincia di Pavia"
"Basilicata Rosso","Casa Maschito","Basilicata"
"Basilicata Seusuale Rosato","Vigneti del Vulture","Basilicata"
"Basilicia San Martino Chianti Classico Riserva","Cafaggio","Toscana"
"Bass Tuba Moscato d'Asti","Bava","Moscato d'Asti"
"Bassiano Roero Arneis","Malgra","Piemonte"
"Bassolino di Sopra Brunello di Montalcino","Pian dell'Orino","Brunello di Montalcino"
"Bassolino Rosso di Montalcino","Pian dell'Orino","Rosso di Montalcino"
"Bastia San Michele Cabernet Sauvignon-Corvina","Tenuta Valleselle","Veneto"
"Batistot Barolo Riserva","Cascina Bruni","Langhe"
"Battistelle Soave Classico","Le Battistelle","Soave Classico"
"Baudana Barolo","Cascina Adelaide","Barolo"
"Bazar dei Sapori Vernaccia di San Gimignano","La Buca di Montauto","Vernaccia di San Gimignano"
"BBQ Barbera Piemonte","Araldica","Piemonte"
"Beatrice Chianti Classico Riserva","Viticcio","Chianti Classico"
"Becco Fino Barbera d'Alba","Cascina Ca' Rossa","Piemonte"
"Becco Fino Roero Arneis","Cascina Ca' Rossa","Piemonte"
"Becco Rosso Lambrusco Grasparossa","Fiorini","Emilia-Romagna"
"Béchar Fiano di Avellino","Antonio Caggiano","Fiano di Avellino"
"Beddu Lu Novello","Cantine due Palme","Brindisi"
"Bel Campo Fiano Organic","Marks & Spencer","Sannio"
"Bel Cirlei Cortese","Vignaioli del Tortonese","Piemonte"
"Bel Ninei Cortese","Vignaioli del Tortonese","Piemonte"
"Bel Sec Conegliano Valdobbiadene Prosecco Superiore Brut","Carmina","Veneto"
"Belamì Chardonnay Langhe","Boroli","Langhe"
"Belcapo Grechetto","Fattoria Madonna delle Macchie","Lazio"
"Belcaro Vin Santo del Chianti Classico","San Felice","Vin Santo del Chianti Classico"
"Belcompare Merlot","Arnaldo-Caprai","Montefalco"
"Belcore","I Giusti & Zanza","Toscana"
"Belforte Todi Sangiovese","Tudernum","Umbria"
"Belial Sangiovese Toscana","Poggio Anima","Toscana"
"Bella Rosa-ae Rosé","Torre dei Beati","Abruzzo"
"Bella Storia Merlot","Ekuò","Vino d'Italia"
"Bella Torre Cerasuolo d'Abruzzo","Citra","Abruzzo"
"Bella Valletta Gavi","Roberto Sarotto","Gavi"
"Bell'Aja","San Felice","Bolgheri"
"Bellamarsilia Morellino di Scansano","Poggio Argentiera","Morellino di Scansano"
"Bellarina Rosso di Montalcino","Tenute Niccolai","Chianti"
"Bellarina Rosso di Montalcino","Palagetto","Rosso di Montalcino"
"Bellavita Nero Monferrato Rosso","Tenuta San Pietro","Monferrato"
"Bellino Prosecco Extra Dry","Enoitalia","Puglia"
"Bellissimo Langhe Rosato","Pietro di Campo","Piemonte"
"Bell'Italia Montepulciano d'Abruzzo","Cantina Tollo","Abruzzo"
"Bello Stento Chianti Classico","Triacca","Chianti Classico"
"Bello Stento Riserva Chianti Classico","Il Poderino","Chianti"
"Bello Stento Rutilio Chianti Colli Senesi","Il Poderino","Chianti"
"Bellovedere Montepulciano d'Abruzzo (Riserva)","La Valentina","Abruzzo"
"Belnero (Proprietor's Reserve)","Banfi","Toscana"
"Belva Passito Rosso","Cantine Truentum","Montepulciano d'Abruzzo"
"Belvedere Merlot","Cecilia Beretta","Verona"
"Belvento Velarosa Toscana (I Vini Del Mare)","Petra","Toscana"
"Belvive Piemonte Chardonnay","Cantine Povero","Piemonte"
"Ben Ryé Passito di Pantelleria","Donnafugata","Passito di Pantelleria"
"Bendicò","Mandrarossa","Sicilia"
"Benedete Ribolla Gialla","Collavini","Friuli-Venezia Giulia"
"Benedetta Brunello di Montalcino","Stella di Campalto","Toscana"
"Benedetta Vernaccia di San Gimignano Riserva","Fattoria San Donato","Chianti"
"Benefizio Riserva Pomino Bianco","Castello Pomino","Pomino"
"Beneventano Aglianico","Dormiente di Cocchiaro Guerino","Campania"
"Beneventano Falanghina","Arduini","Veneto"
"Beneventano Fiano","Cantina del Taburno","Taburno"
"Beneventano Greco","Cantina del Taburno","Taburno"
"Benuara (Tenuta Presti e Pegni)","Cusumano","Terre Siciliane"
"Berardenga Chianti Classico","Fèlsina","Toscana"
"Berardenga Chianti Classico Riserva","Fèlsina","Chianti Classico"
"Berardenga Chianti Colli Senesi","Fèlsina","Chianti Colli Senesi"
"Bere (Berello) Toscana","Viticcio","Chianti"
"Berg Pinot Bianco","Nals Margreid","Südtirol-Alto Adige"
"Berganorio Orviéto Classico","Tenuta Le Velette","Orvieto Classico"
"Berlet Moscato d'Asti","Dogliotti 1870","Asti"
"Bernardeschi Governo","Terrescure","Toscana"
"Bertarose Chiaretto","Bertani","Amarone della Valpolicella"
"Bertesca Vernaccia di San Gimignano","Castelli del Grevepesa","Vernaccia di San Gimignano"
"Bertolino Barbera d'Asti Superiore","Olim Bauda","Asti"
"Beta Delta Chardonnay-Pinot Grigio","Alois Lageder","Südtirol-Alto Adige"
"Bevetelo Rossoze","Cantine Angeli","Maremma Toscana"
"Bevion Chardonnay","Boeri Alfonso","Piemonte"
"Beyond the Clouds","Elena Walch","Südtirol-Alto Adige"
"Bianca di Valguarnera","Duca di Salaparuta","Terre Siciliane"
"Biancariva Rive di Collalto Conegliano Valdobbiadene Prosecco Superiore","Tenuta Degli Ultimi","Veneto"
"Bianchi Montepulciano d'Abruzzo","Umani Ronchi","Marche"
"Bianchino Frizzante","Poletti","Emilia-Romagna"
"Bianco","Cantina Cinque Terre","Cinque Terre"
"Bianco","Fioris","Trentino-Alto Adige"
"Bianco","Oro Italiano","Toscana"
"Bianco","Cantina dei Colli Amerini","Umbria"
"Bianco","Schiopetto","Friuli-Venezia Giulia"
"Bianco","Santa Lucia","Toscana"
"Bianco","Fedele","Terre Siciliane"
"Bianco","Macea","Toscana"
"Bianco","Bartali","Toscana"
"Bianco","Bella Tavola","Terre Siciliane"
"Bianco","Riunite","Emilia-Romagna"
"Bianco","Castellani","Toscana"
"Bianco","Monte Pietroso","Terre Siciliane"
"Bianco","A Mano","Puglia"
